loyaltynum,id,score,prob_score,CarID,CurrentEmploymentType,CurrentEmploymentTitle,Name
L1107,1,4.733900013590832,0.19724583389961803,1,Information Technology,IT Helpdesk,Nils Calixto
L1107,2,0.531391001028884,0.02214129170953684,2,Engineering,Engineer,Lars Azada
L1107,3,0.13255752909265903,0.005523230378860794,3,Engineering,Engineer,Felix Balas
L1107,5,1.1015632692976152,0.0458984695540673,5,Information Technology,IT Technician,Isak Baza
L1107,6,0.19867313983080886,0.00827804749295037,6,Information Technology,IT Group Manager,Linnea Bergen
L1107,7,0.21922054915854738,0.009134189548272808,7,Engineering,Drill Technician,Elsa Orilla
L1107,8,4.854535491270268,0.2022723121362612,8,Information Technology,IT Technician,Lucas Alcazar
L1107,9,0.2984682696372748,0.012436177901553118,9,Engineering,Drill Technician,Gustav Cazar
L1107,10,0.43485909162903563,0.018119128817876487,10,Executive,SVP/CIO,Ada Campo-Corrente
L1107,11,0.1964156892857135,0.008183987053571398,11,Engineering,Hydraulic Technician,Axel Calzas
L1107,12,0.6146284061960992,0.02560951692483747,12,Security,Site Control,Hideki Cocinaro
L1107,13,0.4698209599163332,0.01957587332984722,13,Security,Site Control,Inga Ferro
L1107,14,0.2455174081098871,0.01022989200457863,14,Engineering,Engineering Group Manager,Lidelse Dedos
L1107,15,0.4092576971104792,0.01705240404626997,15,Security,Site Control,Loreto Bodrogi
L1107,17,0.04596100278551532,0.0019150417827298054,17,Information Technology,IT Technician,Sven Flecha
L1107,18,0.1493181826922334,0.006221590945509726,18,Engineering,Geologist,Birgitta Frente
L1107,19,0.18638838255443418,0.007766182606434759,19,Engineering,Hydraulic Technician,Vira Frente
L1107,21,0.32971194566334683,0.013737997735972786,21,Security,Perimeter Control,Hennie Osvaldo
L1107,22,0.234753993704215,0.009781416404342293,22,Security,Badging Office,Adra Nubarron
L1107,23,0.249487912032409,0.010395329668017043,23,Security,Badging Office,Varja Lagos
L1107,25,0.19509592198852713,0.008128996749521965,25,Engineering,Geologist,Kanon Herrero
L1107,26,0.45122049071148085,0.01880085377964504,26,Engineering,Drill Site Manager,Marin Onda
L1107,27,0.25239498223347206,0.010516457593061338,27,Engineering,Drill Technician,Kare Orilla
L1107,28,4.038572994299634,0.1682738747624848,28,Engineering,Drill Technician,Isande Borrasca
L1107,29,0.8374728433524983,0.0348947018063541,29,Facilities,Facilities Group Manager,Bertrand Ovan
L1107,30,0.5823422765797421,0.024264261524155926,30,Security,Security Group Manager,Felix Resumir
L1107,32,0.8430161694334223,0.0351256737263926,32,Executive,SVP/COO,Orhan Strum
L1107,34,0.6727678444067645,0.028031993516948527,34,Security,Perimeter Control,Edvard Vann
L1107,35,0.44662300343483574,0.018609291809784826,35,Executive,Environmental Safety Advisor,Willem Vasco-Pais
L1107,101,0.044063538973032876,0.0018359807905430367,101,Truck Driver,Truck Driver,Truck Driver 101
L1485,1,0.14074819064928798,0.005629927625971519,1,Information Technology,IT Helpdesk,Nils Calixto
L1485,2,0.05330280793693756,0.0021321123174775024,2,Engineering,Engineer,Lars Azada
L1485,3,0.04742567600667827,0.0018970270402671307,3,Engineering,Engineer,Felix Balas
L1485,4,0.031367860957783156,0.0012547144383113261,4,Executive,SVP/CFO,Ingrid Barranco
L1485,5,0.567177826726708,0.022687113069068322,5,Information Technology,IT Technician,Isak Baza
L1485,6,0.1296796011090305,0.0051871840443612205,6,Information Technology,IT Group Manager,Linnea Bergen
L1485,7,0.0223254346151315,0.0008930173846052599,7,Engineering,Drill Technician,Elsa Orilla
L1485,8,0.17843634516422235,0.007137453806568894,8,Information Technology,IT Technician,Lucas Alcazar
L1485,9,0.23664044402196918,0.009465617760878767,9,Engineering,Drill Technician,Gustav Cazar
L1485,10,0.02139238007981419,0.0008556952031925675,10,Executive,SVP/CIO,Ada Campo-Corrente
L1485,11,0.04052761645833223,0.001621104658333289,11,Engineering,Hydraulic Technician,Axel Calzas
L1485,12,0.11175286386912885,0.004470114554765154,12,Security,Site Control,Hideki Cocinaro
L1485,13,2.1269343805994634,0.08507737522397854,13,Security,Site Control,Inga Ferro
L1485,14,0.19651783700593536,0.007860713480237414,14,Engineering,Engineering Group Manager,Lidelse Dedos
L1485,15,3.064895607877715,0.12259582431510861,15,Security,Site Control,Loreto Bodrogi
L1485,16,1.626736349297954,0.06506945397191816,16,Security,Perimeter Control,Isia Vann
L1485,17,1.1224139524944534,0.04489655809977813,17,Information Technology,IT Technician,Sven Flecha
L1485,18,0.28863779643437715,0.011545511857375085,18,Engineering,Geologist,Birgitta Frente
L1485,19,0.03164821988978757,0.0012659287955915028,19,Engineering,Hydraulic Technician,Vira Frente
L1485,20,0.1493566900056173,0.005974267600224692,20,Security,Building Control,Stenig Fusil
L1485,21,1.032876280616928,0.04131505122467712,21,Security,Perimeter Control,Hennie Osvaldo
L1485,22,2.7004721916215524,0.10801888766486209,22,Security,Badging Office,Adra Nubarron
L1485,23,2.7894319260870835,0.11157727704348334,23,Security,Badging Office,Varja Lagos
L1485,24,0.9978760686575948,0.039915042746303794,24,Security,Perimeter Control,Minke Mies
L1485,25,0.25787114101664194,0.010314845640665678,25,Engineering,Geologist,Kanon Herrero
L1485,26,0.20322428913853183,0.008128971565541272,26,Engineering,Drill Site Manager,Marin Onda
L1485,27,0.11992157686365287,0.004796863074546115,27,Engineering,Drill Technician,Kare Orilla
L1485,28,0.9884759750157405,0.03953903900062962,28,Engineering,Drill Technician,Isande Borrasca
L1485,29,0.1718930408520648,0.006875721634082592,29,Facilities,Facilities Group Manager,Bertrand Ovan
L1485,30,2.733834344010942,0.10935337376043767,30,Security,Security Group Manager,Felix Resumir
L1485,31,0.013429477298933425,0.000537179091957337,31,Executive,President/CEO,Sten Sanjorge Jr.
L1485,32,0.4732499590279284,0.018929998361117136,32,Executive,SVP/COO,Orhan Strum
L1485,33,1.4295648169093351,0.057182592676373406,33,Engineering,Drill Technician,Brand Tempestad
L1485,34,0.29286269703339607,0.011714507881335844,34,Security,Perimeter Control,Edvard Vann
L1485,35,0.41941149681209267,0.016776459872483707,35,Executive,Environmental Safety Advisor,Willem Vasco-Pais
L1485,101,0.036954560702253156,0.0014781824280901263,101,Truck Driver,Truck Driver,Truck Driver 101
L1485,105,0.07178986015959724,0.0028715944063838895,105,Truck Driver,Truck Driver,Truck Driver 105
L1485,106,0.015805779290282977,0.000632231171611319,106,Truck Driver,Truck Driver,Truck Driver 106
L1485,107,0.06313663768512265,0.002525465507404906,107,Truck Driver,Truck Driver,Truck Driver 107
L1682,1,0.39986182329034137,0.017385296664797448,1,Information Technology,IT Helpdesk,Nils Calixto
L1682,2,0.034574561471461415,0.0015032418031070177,2,Engineering,Engineer,Lars Azada
L1682,3,0.08771108359075627,0.0038135253735111416,3,Engineering,Engineer,Felix Balas
L1682,4,0.09809574291902495,0.0042650323008271715,4,Executive,SVP/CFO,Ingrid Barranco
L1682,5,0.11890970312535577,0.005169987092406772,5,Information Technology,IT Technician,Isak Baza
L1682,6,3.7632088415162164,0.16361777571809633,6,Information Technology,IT Group Manager,Linnea Bergen
L1682,7,0.15186470846194583,0.006602813411388948,7,Engineering,Drill Technician,Elsa Orilla
L1682,8,0.3202522039363539,0.013924008866797993,8,Information Technology,IT Technician,Lucas Alcazar
L1682,9,0.04398978186712254,0.0019125992116140232,9,Engineering,Drill Technician,Gustav Cazar
L1682,10,0.3069758766277584,0.013346777244685144,10,Executive,SVP/CIO,Ada Campo-Corrente
L1682,11,0.18244013891746708,0.00793217995293335,11,Engineering,Hydraulic Technician,Axel Calzas
L1682,12,0.14489501569815022,0.0062997832912239215,12,Security,Site Control,Hideki Cocinaro
L1682,13,0.8471259141433253,0.036831561484492396,13,Security,Site Control,Inga Ferro
L1682,14,0.27608435709545615,0.012003667699802439,14,Engineering,Engineering Group Manager,Lidelse Dedos
